feature 26, gain 0.38234 
feature 19, gain 0.31840 
feature 28, gain 0.31439 
feature 23, gain 0.30863 
feature 17, gain 0.29757 
feature 21, gain 0.27443 
feature 60, gain 0.27022 
feature 29, gain 0.26961 
feature 27, gain 0.24438 
feature 25, gain 0.23165 
feature 16, gain 0.21325 
feature 24, gain 0.20208 
feature 18, gain 0.19082 
feature 22, gain 0.18328 
feature 30, gain 0.18278 
feature 20, gain 0.17388 
feature 72, gain 0.12053 
feature 91, gain 0.09818 
feature 57, gain 0.09212 
feature 82, gain 0.06946 
feature 88, gain 0.06642 
feature 84, gain 0.06556 
feature 15, gain 0.06339 
feature 86, gain 0.05758 
feature 93, gain 0.05390 
feature 69, gain 0.05306 
feature 85, gain 0.05020 
feature 92, gain 0.04997 
feature 62, gain 0.04920 
feature 94, gain 0.04907 
feature 34, gain 0.04314 
feature 90, gain 0.04258 
feature 81, gain 0.04257 
feature 80, gain 0.04253 
feature 83, gain 0.03876 
feature 58, gain 0.03517 
feature 32, gain 0.03516 
feature 87, gain 0.03499 
feature 66, gain 0.03372 
feature 9, gain 0.03369 
feature 12, gain 0.03328 
feature 89, gain 0.03276 
feature 63, gain 0.03145 
feature 11, gain 0.02945 
feature 70, gain 0.02882 
feature 56, gain 0.02830 
feature 31, gain 0.02743 
feature 99, gain 0.02722 
feature 7, gain 0.02675 
feature 13, gain 0.02497 
feature 5, gain 0.02449 
feature 3, gain 0.02385 
feature 68, gain 0.02334 
feature 95, gain 0.02298 
feature 6, gain 0.02203 
feature 97, gain 0.02193 
feature 10, gain 0.02082 
feature 50, gain 0.02047 
feature 53, gain 0.01987 
feature 64, gain 0.01969 
feature 36, gain 0.01877 
feature 33, gain 0.01744 
feature 75, gain 0.01720 
feature 14, gain 0.01711 
feature 61, gain 0.01670 
feature 1, gain 0.01583 
feature 2, gain 0.01558 
feature 52, gain 0.01520 
feature 73, gain 0.01506 
feature 59, gain 0.01500 
feature 8, gain 0.01477 
feature 35, gain 0.01427 
feature 0, gain 0.01397 
feature 96, gain 0.01356 
feature 48, gain 0.01267 
feature 4, gain 0.01184 
feature 78, gain 0.01177 
feature 44, gain 0.01133 
feature 46, gain 0.01131 
feature 71, gain 0.01104 
feature 54, gain 0.01055 
feature 76, gain 0.01020 
feature 47, gain 0.00915 
feature 45, gain 0.00730 
feature 51, gain 0.00728 
feature 67, gain 0.00622 
feature 49, gain 0.00609 
feature 79, gain 0.00565 
feature 41, gain 0.00552 
feature 98, gain 0.00522 
feature 39, gain 0.00508 
feature 55, gain 0.00492 
feature 42, gain 0.00484 
feature 100, gain 0.00430 
feature 65, gain 0.00425 
feature 43, gain 0.00359 
feature 40, gain 0.00264 
feature 74, gain 0.00237 
feature 37, gain 0.00223 
feature 38, gain 0.00175 
feature 77, gain 0.00128 
