feature 26, gain 0.37911 
feature 23, gain 0.30667 
feature 28, gain 0.29474 
feature 19, gain 0.29339 
feature 21, gain 0.27509 
feature 17, gain 0.26470 
feature 60, gain 0.25937 
feature 29, gain 0.25482 
feature 27, gain 0.24326 
feature 25, gain 0.23108 
feature 16, gain 0.20722 
feature 24, gain 0.20161 
feature 22, gain 0.19012 
feature 30, gain 0.18251 
feature 18, gain 0.18218 
feature 20, gain 0.13662 
feature 72, gain 0.09662 
feature 91, gain 0.07383 
feature 57, gain 0.06505 
feature 88, gain 0.05339 
feature 92, gain 0.04374 
feature 86, gain 0.04148 
feature 93, gain 0.03857 
feature 90, gain 0.03619 
feature 84, gain 0.03474 
feature 69, gain 0.02850 
feature 94, gain 0.02830 
feature 87, gain 0.02804 
feature 66, gain 0.02486 
feature 82, gain 0.02420 
feature 34, gain 0.02409 
feature 11, gain 0.02409 
feature 89, gain 0.02295 
feature 7, gain 0.02284 
feature 3, gain 0.02214 
feature 12, gain 0.02159 
feature 95, gain 0.01978 
feature 10, gain 0.01900 
feature 58, gain 0.01833 
feature 83, gain 0.01801 
feature 81, gain 0.01797 
feature 6, gain 0.01576 
feature 32, gain 0.01566 
feature 5, gain 0.01540 
feature 70, gain 0.01540 
feature 9, gain 0.01485 
feature 33, gain 0.01421 
feature 14, gain 0.01360 
feature 2, gain 0.01296 
feature 1, gain 0.01285 
feature 85, gain 0.01283 
feature 59, gain 0.01275 
feature 31, gain 0.01263 
feature 13, gain 0.01238 
feature 0, gain 0.01097 
feature 8, gain 0.01006 
feature 63, gain 0.00953 
feature 71, gain 0.00940 
feature 51, gain 0.00779 
feature 48, gain 0.00779 
feature 52, gain 0.00777 
feature 53, gain 0.00764 
feature 44, gain 0.00760 
feature 99, gain 0.00759 
feature 61, gain 0.00662 
feature 35, gain 0.00627 
feature 78, gain 0.00610 
feature 73, gain 0.00487 
feature 4, gain 0.00484 
feature 15, gain 0.00376 
feature 47, gain 0.00321 
feature 96, gain 0.00315 
feature 75, gain 0.00303 
feature 56, gain 0.00301 
feature 49, gain 0.00295 
feature 46, gain 0.00285 
feature 54, gain 0.00268 
feature 42, gain 0.00266 
feature 98, gain 0.00265 
feature 50, gain 0.00252 
feature 68, gain 0.00249 
feature 41, gain 0.00244 
feature 43, gain 0.00234 
feature 97, gain 0.00234 
feature 55, gain 0.00215 
feature 65, gain 0.00195 
feature 64, gain 0.00172 
feature 100, gain 0.00124 
feature 39, gain 0.00107 
feature 45, gain 0.00106 
feature 67, gain 0.00086 
feature 77, gain 0.00061 
feature 37, gain 0.00059 
feature 40, gain 0.00058 
feature 76, gain 0.00053 
feature 38, gain 0.00051 
feature 79, gain 0.00049 
feature 80, gain 0.00047 
feature 74, gain 0.00041 
feature 62, gain 0.00037 
feature 36, gain 0.00025 
